,rest_cnt,review_cnt,review_link
0,1,8,https://www.yelp.com//biz/bombay-chaat-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
1,2,119,https://www.yelp.com//biz/arusuvai-santa-clara?osq=Indian+Vegetarian+Restaurant
2,3,61,https://www.yelp.com//biz/mangoes-indian-cuisine-santa-clara-2?osq=Indian+Vegetarian+Restaurant
3,4,398,https://www.yelp.com//biz/deedees-santa-clara?osq=Indian+Vegetarian+Restaurant
4,5,78,https://www.yelp.com//biz/kabila-sweets-and-restaurant-santa-clara-2?osq=Indian+Vegetarian+Restaurant
5,6,617,https://www.yelp.com//biz/sankranti-sunnyvale?osq=Indian+Vegetarian+Restaurant
6,7,307,https://www.yelp.com//biz/great-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant
7,8,222,https://www.yelp.com//biz/biryani-bowl-santa-clara-santa-clara-4?osq=Indian+Vegetarian+Restaurant
8,9,204,https://www.yelp.com//biz/ganesha-indian-cuisine-sweets-and-catering-santa-clara-2?osq=Indian+Vegetarian+Restaurant
9,10,161,https://www.yelp.com//biz/kettlee-santa-clara?osq=Indian+Vegetarian+Restaurant
10,11,1092,https://www.yelp.com//biz/merit-vegan-cuisine-sunnyvale?osq=Indian+Vegetarian+Restaurant
11,12,193,https://www.yelp.com//biz/the-yellow-chilli-by-sanjeev-kapoor-santa-clara-2?osq=Indian+Vegetarian+Restaurant
12,13,395,https://www.yelp.com//biz/mayuri-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant
13,14,162,https://www.yelp.com//biz/igrill-santa-clara?osq=Indian+Vegetarian+Restaurant
14,15,1330,https://www.yelp.com//biz/ulavacharu-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
15,16,231,https://www.yelp.com//biz/amaravathi-indian-pure-vegetarian-restaurant-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
16,17,57,https://www.yelp.com//biz/abhiruchi-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
17,18,1358,https://www.yelp.com//biz/kabab-and-currys-santa-clara?osq=Indian+Vegetarian+Restaurant
18,19,744,https://www.yelp.com//biz/indian-street-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant
19,20,527,https://www.yelp.com//biz/mezbaan-santa-clara-3?osq=Indian+Vegetarian+Restaurant
20,21,50,https://www.yelp.com//biz/golkonda-indian-cuisine-santa-clara?osq=Indian+Vegetarian+Restaurant
21,22,173,https://www.yelp.com//biz/ugadi-sunnyvale?osq=Indian+Vegetarian+Restaurant
22,23,35,https://www.yelp.com//biz/dawat-biryani-palace-san-jose?osq=Indian+Vegetarian+Restaurant
23,24,1383,https://www.yelp.com//biz/madras-cafe-sunnyvale?osq=Indian+Vegetarian+Restaurant
24,25,830,https://www.yelp.com//biz/chaats-and-currys-sunnyvale-6?osq=Indian+Vegetarian+Restaurant
25,26,496,https://www.yelp.com//biz/swaad-indian-cuisine-san-jose?osq=Indian+Vegetarian+Restaurant
26,27,148,https://www.yelp.com//biz/bhavikas-indian-vegetarian-food-sunnyvale-2?osq=Indian+Vegetarian+Restaurant
27,28,189,https://www.yelp.com//biz/bangalore-cafe-santa-clara?osq=Indian+Vegetarian+Restaurant
28,29,597,https://www.yelp.com//biz/paradise-biryani-pointe-santa-clara?osq=Indian+Vegetarian+Restaurant
29,30,645,https://www.yelp.com//biz/thali-indian-vegetarian-sunnyvale?osq=Indian+Vegetarian+Restaurant
30,31,477,https://www.yelp.com//biz/peacock-indian-cuisine-santa-clara-3?osq=Indian+Vegetarian+Restaurant
31,32,494,https://www.yelp.com//biz/rajwadi-thali-sunnyvale?osq=Indian+Vegetarian+Restaurant
32,33,634,https://www.yelp.com//biz/crepes-bistro-santa-clara-2?osq=Indian+Vegetarian+Restaurant
33,34,936,https://www.yelp.com//biz/ananda-bhavan-sunnyvale?osq=Indian+Vegetarian+Restaurant
34,35,1455,https://www.yelp.com//biz/naan-n-masala-milpitas?osq=Indian+Vegetarian+Restaurant
35,36,109,https://www.yelp.com//biz/amruta-vilas-sunnyvale?osq=Indian+Vegetarian+Restaurant
36,37,562,https://www.yelp.com//biz/satkar-indian-cuisine-sunnyvale?osq=Indian+Vegetarian+Restaurant
