rest_name,sqrt_fcnt1,sqrt_rcnt1,tdidf1,sqrt_fcnt2,sqrt_rcnt2,tdidf2,sqrt_fcnt3,sqrt_rcnt3,tdidf3,sqrt_fcnt4,sqrt_rcnt4,tdidf4,sqrt_fcnt5,sqrt_rcnt5,tdidf5,sqrt_fcnt6,sqrt_rcnt6,tdidf6
chaat-bhavan-sunnyvale-2,20.188369600501293,17.394982233623395,2.2,0.0,0.0,0.0,17.97220075561143,16.0312195418814,0.8,0.0,0.0,0.0,6.557438524302,6.244997998398398,0.0,7.0,8.123105625617661,2.6
india-chaat-cuisine-sunnyvale,7.874007874011811,6.741657386773941,1.8,0.0,0.0,0.0,0.0,3.4641016151377544,1.0,0.0,0.0,0.0,0.0,5.385164807134504,0.8,0.0,0.0,0.0
curry-up-now-san-jose,14.0,6.557438524302,1.1313708498984762,0.0,5.0990195135927845,1.0,0.0,0.0,0.0,4.732050807568877,12.313368037410012,1.8392304845413263,3.0,7.211102550927978,0.8,0.0,0.0,0.0
delhiwala-chaat-sunnyvale-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.164414002968976,6.291502622129181,2.414213562373095,0.0,6.244997998398398,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,2.6457513110645907,1.0,0.0,0.0,0.0,2.8284271247461903,5.385164807134504,0.8,0.0,0.0,0.0,0.0,0.0,0.0
bombay-to-goa-sunnyvale,0.0,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449489742783178,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radhe-chaat-express-sunnyvale,0.0,6.48074069840786,1.0,0.0,0.0,0.0,4.242640687119285,5.656854249492381,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.449489742783178,0.8,0.0,0.0,0.0,0.0,0.0,0.0
sri-surati-thali-milpitas,0.0,0.0,0.0,1.0,2.8284271247461903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,5.291502622129181,11.357816691600547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrots-food-truck-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-bhavan-sunnyvale-2,0.0,0.0,0.0,9.327379053088816,5.830951894845301,0.8,5.196152422706632,8.306623862918075,0.8,20.188369600501293,17.394982233623395,2.2,0.0,0.0,0.0,17.97220075561143,16.0312195418814,0.8
radhe-chaat-express-sunnyvale,0.0,0.0,0.0,5.0990195135927845,2.0,2.414213562373095,0.0,0.0,0.0,0.0,6.48074069840786,1.0,0.0,0.0,0.0,4.242640687119285,5.656854249492381,1.0
india-chaat-cuisine-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.874007874011811,6.741657386773941,1.8,0.0,0.0,0.0,0.0,3.4641016151377544,1.0
bombay-to-goa-sunnyvale,0.0,0.0,0.0,1.4142135623730951,8.246211251235321,0.6,0.0,3.0,0.8,0.0,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6457513110645907,1.0,0.0,0.0,0.0
curry-up-now-san-jose,0.0,2.449489742783178,0.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.557438524302,1.1313708498984762,0.0,5.0990195135927845,1.0,0.0,0.0,0.0
sri-surati-thali-milpitas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.8284271247461903,1.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,3.872983346207417,7.245321266095897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrots-food-truck-sunnyvale-2,0.0,0.0,0.0,1.0,4.242640687119285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.291502622129181,11.357816691600547,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-bhavan-sunnyvale-2,0.0,0.0,0.0,12.806248474865697,16.673332000533065,0.848528137423857,18.947295321496416,10.862780491200215,0.6,0.0,0.0,0.0,9.327379053088816,5.830951894845301,0.8,5.196152422706632,8.306623862918075,0.8
bombay-to-goa-sunnyvale,0.0,0.0,0.0,1.0,1.4142135623730951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,8.246211251235321,0.6,0.0,3.0,0.8
radhe-chaat-express-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0990195135927845,2.0,2.414213562373095,0.0,0.0,0.0
india-chaat-cuisine-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,5.916079783099616,11.874342087037917,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,3.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.872983346207417,7.245321266095897,1.0
curry-up-now-san-jose,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.211102550927978,0.0,0.0,2.449489742783178,0.8,0.0,0.0,0.0,0.0,0.0,0.0
carrots-food-truck-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.242640687119285,1.0,0.0,0.0,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-bhavan-sunnyvale-2,0.0,0.0,0.0,10.63014581273465,18.34529853340503,1.0,1.4142135623730951,2.449489742783178,0.0,0.0,0.0,0.0,12.806248474865697,16.673332000533065,0.848528137423857,18.947295321496416,10.862780491200215,0.6
india-chaat-cuisine-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,6.782329983125268,4.242640687119285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.916079783099616,11.874342087037917,0.6
bombay-to-goa-sunnyvale,2.414213562373095,5.656854249492381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.4142135623730951,1.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,21.600429575941096,20.80693529180755,1.4,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
curry-up-now-san-jose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.211102550927978,0.0
bikaner-sweets-chaat-cafe-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bombay-chaat-house-milpitas-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.306623862918075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bangalore-cafe-santa-clara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaat-house-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turmeric-restaurant-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
new-india-chaat-cafe-san-jose-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza-pub-sunnyvale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bhavikas-indian-vegetarian-food-sunnyvale-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.600429575941096,20.80693529180755,1.4
chaat-bhavan-sunnyvale-2,7.483314773547883,4.47213595499958,0.6,7.416198487095663,1.7320508075688772,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63014581273465,18.34529853340503,1.0,1.4142135623730951,2.449489742783178,0.0
india-chaat-cuisine-sunnyvale,0.0,2.449489742783178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.782329983125268,4.242640687119285,0.0
bombay-to-goa-sunnyvale,0.0,0.0,0.0,8.071067811865476,8.849266422272258,0.0,0.0,0.0,0.0,2.414213562373095,5.656854249492381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
